Age,Gender,Date,Outcome
21.0,Male,2021-03-21T02:45:56+00:00,True
21.0,Male,2021-03-21T02:50:17+00:00,False
21.0,Male,2021-03-21T03:18:19+00:00,False
21.0,Male,2021-03-21T05:47:06+00:00,False
42.5,Male,2021-03-21T06:16:53+00:00,True
21.0,Male,2021-03-21T06:42:48+00:00,True
21.0,Male,2021-03-21T06:56:54+00:00,False
21.0,Female,2021-03-21T06:58:25+00:00,False
29.5,Male,2021-03-22T01:40:57+00:00,False
29.5,Male,2021-03-22T01:48:50+00:00,True
42.5,Male,2021-03-22T02:12:38+00:00,True
42.5,Male,2021-03-22T02:19:54+00:00,False
29.5,Male,2021-03-22T07:30:06+00:00,False
13.5,Male,2021-03-22T08:02:49+00:00,False
13.5,Male,2021-03-22T08:12:57+00:00,False
21.0,Male,2021-03-22T08:47:01+00:00,True
29.5,Female,2021-03-22T08:54:51+00:00,True
29.5,Male,2021-03-23T03:46:06+00:00,True
29.5,Male,2021-03-23T03:58:20+00:00,False
21.0,Male,2021-03-23T05:24:44+00:00,False
,Male,2021-03-23T05:54:40+00:00,True
29.5,Male,2021-03-23T06:18:09+00:00,False
29.5,Male,2021-03-23T06:35:15+00:00,False
29.5,Male,2021-03-24T02:24:56+00:00,False
21.0,Male,2021-03-24T02:29:43+00:00,False
21.0,Male,2021-03-24T02:43:09+00:00,False
21.0,Male,2021-03-24T04:00:34+00:00,False
21.0,Male,2021-03-24T04:29:20+00:00,False
21.0,Male,2021-03-24T04:30:51+00:00,False
42.5,Male,2021-03-24T05:12:53+00:00,False
,Male,2021-03-24T05:30:10+00:00,False
21.0,Male,2021-03-24T06:22:20+00:00,True
21.0,Male,2021-03-24T07:15:58+00:00,False
21.0,Male,2021-03-24T07:17:23+00:00,True
29.5,Male,2021-03-24T07:59:20+00:00,True
21.0,Male,2021-03-24T08:16:14+00:00,True
29.5,Male,2021-03-24T08:38:37+00:00,False
21.0,Male,2021-03-24T10:06:15+00:00,False
29.5,Male,2021-03-24T10:45:19+00:00,True
29.5,Male,2021-03-25T02:00:49+00:00,True
42.5,Male,2021-03-25T04:04:29+00:00,False
29.5,Male,2021-03-25T06:24:25+00:00,False
29.5,Male,2021-03-26T02:18:18+00:00,True
,Male,2021-03-26T04:13:03+00:00,False
21.0,Male,2021-03-26T04:14:03+00:00,False
,Male,2021-03-26T04:39:56+00:00,False
21.0,Male,2021-03-26T05:16:18+00:00,True
29.5,Male,2021-03-26T06:58:28+00:00,False
42.5,Male,2021-03-26T07:38:44+00:00,False
29.5,Male,2021-03-26T08:06:20+00:00,True
21.0,Male,2021-03-26T10:56:00+00:00,False
13.5,Male,2021-03-26T11:04:53+00:00,False
21.0,Male,2021-03-26T11:55:11+00:00,True
13.5,Male,2021-03-27T01:16:19+00:00,False
21.0,Male,2021-03-27T02:16:18+00:00,True
13.5,Male,2021-03-27T02:23:19+00:00,False
42.5,Male,2021-03-27T05:19:31+00:00,False
13.5,Male,2021-03-27T05:26:51+00:00,True
,Male,2021-03-27T06:38:46+00:00,False
13.5,Male,2021-03-27T09:03:55+00:00,True
13.5,Female,2021-03-27T09:08:00+00:00,False
13.5,Male,2021-03-27T12:08:23+00:00,False
21.0,Male,2021-03-27T12:26:00+00:00,False
21.0,Male,2021-03-27T12:36:37+00:00,False
21.0,Male,2021-03-28T01:51:36+00:00,True
21.0,Male,2021-03-28T01:53:00+00:00,True
29.5,Male,2021-03-28T01:53:04+00:00,False
21.0,Male,2021-03-28T02:22:17+00:00,False
,Male,2021-03-28T02:52:27+00:00,False
21.0,Male,2021-03-28T02:55:13+00:00,True
21.0,Male,2021-03-28T04:13:41+00:00,True
21.0,Male,2021-03-28T04:44:47+00:00,False
21.0,Male,2021-03-28T07:22:28+00:00,True
21.0,Male,2021-03-28T07:38:26+00:00,False
21.0,Male,2021-03-28T07:43:17+00:00,True
21.0,Female,2021-03-28T08:03:56+00:00,False
21.0,Female,2021-03-29T02:14:59+00:00,True
21.0,Female,2021-03-29T03:30:59+00:00,False
42.5,Male,2021-03-29T03:51:07+00:00,False
29.5,Male,2021-03-29T04:06:18+00:00,False
,Male,2021-03-29T04:45:58+00:00,False
,Male,2021-03-29T06:23:14+00:00,False
42.5,Male,2021-03-29T06:31:42+00:00,True
42.5,Male,2021-03-29T06:45:17+00:00,True
,Male,2021-03-29T06:45:26+00:00,False
21.0,Male,2021-03-29T10:12:24+00:00,False
13.5,Male,2021-03-29T10:20:50+00:00,False
42.5,Male,2021-03-30T02:43:10+00:00,False
29.5,Male,2021-03-30T03:05:20+00:00,False
29.5,Male,2021-03-30T03:05:20+00:00,False
21.0,Male,2021-03-30T03:22:07+00:00,True
42.5,Male,2021-03-30T03:26:17+00:00,False
21.0,Male,2021-03-30T03:46:20+00:00,True
29.5,Male,2021-03-30T04:12:14+00:00,True
,Male,2021-03-30T05:56:00+00:00,False
29.5,Male,2021-03-30T05:57:21+00:00,True
21.0,Male,2021-03-30T06:38:22+00:00,False
21.0,Male,2021-03-30T07:39:13+00:00,True
21.0,Male,2021-03-30T08:14:49+00:00,False
21.0,Male,2021-03-30T08:31:05+00:00,False
21.0,Male,2021-03-30T09:05:42+00:00,False
42.5,Male,2021-03-30T09:58:16+00:00,True
29.5,Male,2021-03-30T10:55:29+00:00,False
42.5,Male,2021-03-30T11:35:31+00:00,True
29.5,Male,2021-03-30T11:55:01+00:00,True
42.5,Male,2021-03-31T00:05:16+00:00,False
21.0,Male,2021-03-31T00:23:00+00:00,False
42.5,Female,2021-03-31T01:04:25+00:00,False
13.5,Male,2021-03-31T01:31:06+00:00,False
13.5,Male,2021-03-31T01:43:57+00:00,False
13.5,Male,2021-03-31T03:37:05+00:00,True
29.5,Male,2021-03-31T04:01:52+00:00,True
21.0,Male,2021-03-31T05:33:01+00:00,False
13.5,Male,2021-03-31T05:37:44+00:00,False
21.0,Male,2021-03-31T05:43:06+00:00,False
21.0,Male,2021-03-31T06:04:47+00:00,False
21.0,Male,2021-03-31T06:10:22+00:00,False
21.0,Male,2021-03-31T06:16:09+00:00,False
29.5,Male,2021-03-31T06:38:36+00:00,True
21.0,Male,2021-03-31T06:40:30+00:00,False
13.5,Male,2021-03-31T06:56:46+00:00,True
21.0,Male,2021-03-31T07:11:29+00:00,True
42.5,Male,2021-03-31T11:13:59+00:00,True
29.5,Male,2021-03-31T11:42:28+00:00,True
29.5,Male,2021-03-31T11:43:42+00:00,False
